code,mape,mdape,acc,pre_pos,pre_neg,rec_pos,rec_neg,F1_pos,F1_neg
LinearSZSE.300498,1.4581,4.6109,51.19,47.61,55.08,53.50,49.19,50.39,51.97
LinearSZSE.300122,8.4537,206.2078,50.76,52.90,48.88,47.50,54.28,50.05,51.44
LinearSZSE.300059,1.6025,6.1453,51.95,52.89,51.12,48.83,55.16,50.78,53.07
LinearSZSE.002812,12.6728,468.1999,47.08,46.39,47.93,52.65,41.74,49.33,44.62
LinearSZSE.002594,11.0655,352.9994,49.68,51.80,48.13,41.96,57.98,46.37,52.60
LinearSZSE.002475,2.5788,13.1776,50.22,47.00,53.06,47.00,53.06,47.00,53.06
LinearSZSE.002352,3.7834,38.4409,49.78,45.74,52.70,41.07,57.40,43.28,54.95
LinearSZSE.002027,0.4523,0.4727,49.24,44.71,54.83,54.94,44.60,49.30,49.19
LinearSZSE.000917,0.2289,0.1216,54.33,51.83,57.53,61.00,48.24,56.04,52.48
LinearSZSE.000858,13.1769,352.3592,50.32,52.51,47.98,51.97,48.53,52.24,48.25
LinearSZSE.000776,0.6930,1.5725,50.65,48.43,53.02,52.38,49.07,50.33,50.97
LinearSZSE.000725,0.2337,0.1250,49.13,43.57,55.20,51.47,47.29,47.19,50.94
LinearSZSE.000568,8.9352,211.2921,48.70,51.59,46.07,46.52,51.15,48.92,48.48
LinearSZSE.000002,0.8107,1.4800,51.62,48.30,55.56,56.28,47.57,51.99,51.25
LinearSZSE.000001,0.8748,1.3341,48.70,45.22,52.32,49.65,47.88,47.33,50.00
LinearSSE.603288,7.9847,155.9820,48.70,49.25,48.13,49.46,47.92,49.36,48.03
LinearSSE.601985,0.1982,0.1107,50.32,45.42,57.77,62.01,41.09,52.44,48.02
LinearSSE.601939,0.1212,0.0287,46.43,42.63,50.82,50.00,43.43,46.02,46.83
LinearSSE.601919,1.1581,5.3787,51.52,49.70,53.60,55.06,48.23,52.24,50.77
LinearSSE.601888,12.2326,391.5233,47.51,48.85,46.33,44.63,50.56,46.64,48.35
LinearSSE.601398,0.0958,0.0189,48.81,42.89,55.16,50.62,47.40,46.43,50.98
LinearSSE.601318,2.8149,17.8591,49.89,45.73,54.17,50.59,49.30,48.04,51.62
LinearSSE.601166,0.6759,0.9846,50.32,47.97,53.32,56.62,44.65,51.94,48.60
LinearSSE.601088,0.8679,1.7429,49.57,51.15,48.41,42.11,57.46,46.19,52.55
LinearSSE.600900,0.4173,0.3439,49.78,48.07,51.73,53.03,46.76,50.43,49.12
LinearSSE.600887,1.4906,5.0105,51.52,52.46,50.70,47.76,55.38,50.00,52.94
LinearSSE.600585,2.2554,10.6554,48.81,44.99,52.75,49.53,48.19,47.15,50.37
LinearSSE.600519,70.5759,10664.3077,50.11,50.13,50.09,43.07,57.14,46.33,53.39
LinearSSE.600436,15.9722,643.4359,47.84,49.54,46.33,44.98,50.90,47.15,48.50
LinearSSE.600276,4.0095,45.4555,48.48,47.87,49.12,49.34,47.65,48.60,48.37
LinearSSE.600048,0.5849,0.6589,51.95,49.38,54.77,54.57,49.59,51.84,52.05
LinearSSE.600036,1.8918,6.9673,52.16,48.74,55.80,53.95,50.61,51.21,53.08
LinearSSE.600031,1.5872,6.1334,50.22,50.73,49.66,52.03,48.36,51.37,49.00
LinearSSE.600028,0.0934,0.0200,51.52,46.86,57.25,57.45,46.65,51.62,51.41
LinearSSE.600000,0.2907,0.1570,47.51,45.14,52.05,64.32,33.13,53.05,40.49
